,summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria
82,"(30,30,30,1.2,1.2,T/L,earnings)",30,30,30,1.2,1.2,T/L,earnings,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
84,"(30,30,30,0.8,0.8,W/L,wins)",30,30,30,0.8,0.8,W/L,wins,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
85,"(30,30,30,1.6,1.6,W/L,wins)",30,30,30,1.6,1.6,W/L,wins,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
86,"(30,30,30,1.2,1.2,W/L,wins)",30,30,30,1.2,1.2,W/L,wins,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
87,"(30,30,30,0.8,0.8,T/L,earnings)",30,30,30,0.8,0.8,T/L,earnings,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
88,"(30,30,30,1.6,1.6,T/L,wins)",30,30,30,1.6,1.6,T/L,wins,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
89,"(30,30,30,1.2,1.2,W/L,earnings)",30,30,30,1.2,1.2,W/L,earnings,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
90,"(30,30,30,0.8,0.8,W/L,earnings)",30,30,30,0.8,0.8,W/L,earnings,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
92,"(30,30,30,0.8,0.8,T/L,wins)",30,30,30,0.8,0.8,T/L,wins,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
93,"(30,30,30,1.6,1.6,T/L,earnings)",30,30,30,1.6,1.6,T/L,earnings,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
94,"(30,30,30,1.6,1.6,W/T,earnings)",30,30,30,1.6,1.6,W/T,earnings,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
95,"(30,30,30,1.6,1.6,W/L,earnings)",30,30,30,1.6,1.6,W/L,earnings,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
78,"(30,30,30,1.2,1.2,W/T,earnings)",30,30,30,1.2,1.2,W/T,earnings,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
64,"(30,30,30,0.4,0.4,W-L,earnings)",30,30,30,0.4,0.4,W-L,earnings,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
65,"(30,30,30,0.8,0.8,W-L,earnings)",30,30,30,0.8,0.8,W-L,earnings,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
72,"(30,30,30,0.4,0.4,W/L,earnings)",30,30,30,0.4,0.4,W/L,earnings,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
71,"(30,30,30,1.6,1.6,W-L,wins)",30,30,30,1.6,1.6,W-L,wins,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
70,"(30,30,30,0.8,0.8,W-L,wins)",30,30,30,0.8,0.8,W-L,wins,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
69,"(30,30,30,1.2,1.2,W-L,earnings)",30,30,30,1.2,1.2,W-L,earnings,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
68,"(30,30,30,1.2,1.2,W-L,wins)",30,30,30,1.2,1.2,W-L,wins,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
66,"(30,30,30,1.6,1.6,W-L,earnings)",30,30,30,1.6,1.6,W-L,earnings,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
83,"(30,30,30,0.8,0.8,W/T,wins)",30,30,30,0.8,0.8,W/T,wins,55.26315789473684,20.82191780821918,55.26315789473684,20.82191780821918,,0.0,5260.27397260274
75,"(30,30,30,0.4,0.4,W/L,wins)",30,30,30,0.4,0.4,W/L,wins,70.0,5.47945205479452,70.0,5.47945205479452,,0.0,5260.273972602739
76,"(30,30,30,0.4,0.4,T/L,wins)",30,30,30,0.4,0.4,T/L,wins,70.0,5.47945205479452,70.0,5.47945205479452,,0.0,5260.273972602739
59,"(15,15,15,1.2,1.2,W/T,wins)",15,15,15,1.2,1.2,W/T,wins,58.064516129032256,16.986301369863014,85.71428571428571,1.917808219178082,54.54545454545455,15.068493150684931,3287.6712328767117
37,"(15,15,15,0.4,0.4,W/L,wins)",15,15,15,0.4,0.4,W/L,wins,56.92307692307692,17.80821917808219,70.0,2.73972602739726,54.54545454545455,15.068493150684931,2630.1369863013697
