,summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria
29,"(7,7,7,1.6,1.6,W/T,earnings)",7,7,7,1.6,1.6,W/T,earnings,70.27027027027027,10.136986301369863,70.27027027027027,10.136986301369863,,0.0,9863.013698630139
27,"(7,7,7,0.8,0.8,W/L,wins)",7,7,7,0.8,0.8,W/L,wins,70.27027027027027,10.136986301369863,70.27027027027027,10.136986301369863,,0.0,9863.013698630139
12,"(7,7,7,0.8,0.8,T/L,wins)",7,7,7,0.8,0.8,T/L,wins,70.27027027027027,10.136986301369863,70.27027027027027,10.136986301369863,,0.0,9863.013698630139
25,"(7,7,7,1.6,1.6,W/L,earnings)",7,7,7,1.6,1.6,W/L,earnings,70.58823529411765,9.315068493150685,70.58823529411765,9.315068493150685,,0.0,9205.479452054797
28,"(7,7,7,1.6,1.6,T/L,earnings)",7,7,7,1.6,1.6,T/L,earnings,70.58823529411765,9.315068493150685,70.58823529411765,9.315068493150685,,0.0,9205.479452054797
26,"(7,7,7,1.2,1.2,W/L,wins)",7,7,7,1.2,1.2,W/L,wins,75.0,7.671232876712328,75.0,7.671232876712328,,0.0,9205.479452054795
23,"(7,7,7,1.2,1.2,T/L,wins)",7,7,7,1.2,1.2,T/L,wins,75.0,7.671232876712328,75.0,7.671232876712328,,0.0,9205.479452054795
20,"(7,7,7,1.6,1.6,W-L,earnings)",7,7,7,1.6,1.6,W-L,earnings,69.44444444444444,9.863013698630137,69.44444444444444,9.863013698630137,,0.0,9205.479452054795
40,"(15,15,15,0.8,0.8,T/L,earnings)",15,15,15,0.8,0.8,T/L,earnings,49.729729729729726,50.68493150684932,54.961832061068705,35.89041095890411,37.03703703703704,14.794520547945206,8547.945205479458
59,"(15,15,15,0.8,0.8,W/L,earnings)",15,15,15,0.8,0.8,W/L,earnings,49.729729729729726,50.68493150684932,54.961832061068705,35.89041095890411,37.03703703703704,14.794520547945206,8547.945205479458
88,"(30,30,30,0.8,0.8,T/L,wins)",30,30,30,0.8,0.8,T/L,wins,53.191489361702125,25.753424657534246,57.83132530120482,22.73972602739726,18.181818181818183,3.0136986301369864,8547.945205479455
79,"(30,30,30,0.8,0.8,W/L,wins)",30,30,30,0.8,0.8,W/L,wins,53.191489361702125,25.753424657534246,57.83132530120482,22.73972602739726,18.181818181818183,3.0136986301369864,8547.945205479455
84,"(30,30,30,0.8,0.8,W/T,wins)",30,30,30,0.8,0.8,W/T,wins,52.985074626865675,36.71232876712329,55.28455284552845,33.6986301369863,27.272727272727273,3.0136986301369864,8547.945205479447
71,"(30,30,30,0.8,0.8,W-L,earnings)",30,30,30,0.8,0.8,W-L,earnings,52.63157894736842,31.232876712328768,56.0,27.397260273972602,28.571428571428573,3.835616438356164,7890.410958904109
39,"(15,15,15,0.8,0.8,W/T,earnings)",15,15,15,0.8,0.8,W/T,earnings,49.45652173913044,50.41095890410959,54.61538461538461,35.61643835616438,37.03703703703704,14.794520547945206,7890.410958904106
49,"(15,15,15,1.2,1.2,W/T,wins)",15,15,15,1.2,1.2,W/T,wins,55.172413793103445,31.78082191780822,54.95495495495496,30.410958904109588,60.0,1.36986301369863,7232.876712328771
42,"(15,15,15,0.8,0.8,W-L,wins)",15,15,15,0.8,0.8,W-L,wins,49.19786096256684,51.23287671232877,54.13533834586466,36.43835616438356,37.03703703703704,14.794520547945206,7232.876712328766
61,"(15,15,15,0.8,0.8,W/T,wins)",15,15,15,0.8,0.8,W/T,wins,49.404761904761905,46.02739726027397,53.6764705882353,37.26027397260274,31.25,8.767123287671232,6575.34246575343
53,"(15,15,15,0.8,0.8,W-L,earnings)",15,15,15,0.8,0.8,W-L,earnings,48.924731182795696,50.95890410958904,53.78787878787879,36.16438356164384,37.03703703703704,14.794520547945206,6575.342465753428
54,"(15,15,15,1.2,1.2,W-L,wins)",15,15,15,1.2,1.2,W-L,wins,54.621848739495796,32.602739726027394,53.91304347826087,31.506849315068493,75.0,1.095890410958904,5917.808219178079
110,"(60,60,60,0.8,0.8,W/L,wins)",60,60,60,0.8,0.8,W/L,wins,56.14035087719298,15.616438356164384,56.14035087719298,15.616438356164384,,0.0,4602.739726027395
87,"(30,30,30,0.8,0.8,W/T,earnings)",30,30,30,0.8,0.8,W/T,earnings,50.45871559633027,29.863013698630137,53.68421052631579,26.027397260273972,28.571428571428573,3.835616438356164,4602.739726027395
56,"(15,15,15,0.8,0.8,W/L,wins)",15,15,15,0.8,0.8,W/L,wins,48.275862068965516,47.67123287671233,52.84552845528455,33.6986301369863,37.254901960784316,13.972602739726028,4602.739726027395
33,"(15,15,15,0.8,0.8,T/L,wins)",15,15,15,0.8,0.8,T/L,wins,48.275862068965516,47.67123287671233,52.84552845528455,33.6986301369863,37.254901960784316,13.972602739726028,4602.739726027395
122,"(60,60,60,0.8,0.8,T/L,wins)",60,60,60,0.8,0.8,T/L,wins,56.14035087719298,15.616438356164384,56.14035087719298,15.616438356164384,,0.0,4602.739726027395
46,"(15,15,15,1.2,1.2,W/L,wins)",15,15,15,1.2,1.2,W/L,wins,52.83018867924528,29.041095890410958,52.83018867924528,29.041095890410958,,0.0,3945.2054794520536
60,"(15,15,15,1.2,1.2,T/L,wins)",15,15,15,1.2,1.2,T/L,wins,52.83018867924528,29.041095890410958,52.83018867924528,29.041095890410958,,0.0,3945.2054794520536
37,"(15,15,15,1.2,1.2,W-L,earnings)",15,15,15,1.2,1.2,W-L,earnings,52.77777777777778,29.589041095890412,52.94117647058823,27.945205479452056,50.0,1.643835616438356,3945.205479452051
51,"(15,15,15,1.2,1.2,W/T,earnings)",15,15,15,1.2,1.2,W/T,earnings,52.72727272727273,30.136986301369863,52.94117647058823,27.945205479452056,50.0,2.191780821917808,3945.205479452051
62,"(15,15,15,1.2,1.2,T/L,earnings)",15,15,15,1.2,1.2,T/L,earnings,51.886792452830186,29.041095890410958,52.525252525252526,27.123287671232877,42.857142857142854,1.917808219178082,3287.6712328767135
67,"(30,30,30,1.2,1.2,W-L,earnings)",30,30,30,1.2,1.2,W-L,earnings,52.38095238095238,11.506849315068493,56.75675675675676,10.136986301369863,20.0,1.36986301369863,3287.6712328767135
41,"(15,15,15,1.2,1.2,W/L,earnings)",15,15,15,1.2,1.2,W/L,earnings,51.886792452830186,29.041095890410958,52.525252525252526,27.123287671232877,42.857142857142854,1.917808219178082,3287.6712328767135
68,"(30,30,30,1.2,1.2,W-L,wins)",30,30,30,1.2,1.2,W-L,wins,51.111111111111114,12.32876712328767,56.41025641025641,10.684931506849315,16.666666666666668,1.643835616438356,3287.6712328767117
93,"(30,30,30,1.2,1.2,W/T,earnings)",30,30,30,1.2,1.2,W/T,earnings,51.111111111111114,12.32876712328767,56.41025641025641,10.684931506849315,16.666666666666668,1.643835616438356,3287.6712328767117
117,"(60,60,60,0.8,0.8,W/T,wins)",60,60,60,0.8,0.8,W/T,wins,50.86206896551724,31.78082191780822,52.293577981651374,29.863013698630137,28.571428571428573,1.917808219178082,3287.6712328767103
78,"(30,30,30,1.2,1.2,W/T,wins)",30,30,30,1.2,1.2,W/T,wins,50.0,13.150684931506849,54.76190476190476,11.506849315068493,16.666666666666668,1.643835616438356,2630.1369863013683
112,"(60,60,60,1.2,1.2,W/T,earnings)",60,60,60,1.2,1.2,W/T,earnings,60.0,5.47945205479452,60.0,4.109589041095891,60.0,1.36986301369863,1972.602739726028
108,"(60,60,60,1.2,1.2,W-L,wins)",60,60,60,1.2,1.2,W-L,wins,55.55555555555556,4.931506849315069,60.0,4.109589041095891,33.333333333333336,0.821917808219178,1972.602739726028
109,"(60,60,60,1.2,1.2,W-L,earnings)",60,60,60,1.2,1.2,W-L,earnings,61.904761904761905,5.7534246575342465,60.0,4.109589041095891,66.66666666666667,1.643835616438356,1972.602739726028
100,"(60,60,60,1.2,1.2,W/L,earnings)",60,60,60,1.2,1.2,W/L,earnings,55.0,5.47945205479452,58.8235294117647,4.657534246575342,33.333333333333336,0.821917808219178,1972.602739726027
121,"(60,60,60,1.2,1.2,T/L,earnings)",60,60,60,1.2,1.2,T/L,earnings,55.0,5.47945205479452,58.8235294117647,4.657534246575342,33.333333333333336,0.821917808219178,1972.602739726027
